latitude,longitude,elevation,resolution
35.641323,-82.554925,688.7999877929688,4.771975994110107
35.641304,-82.554907,689.6390380859375,4.771975994110107
35.641346,-82.554976,688.4354248046875,4.771975994110107
35.641345,-82.555034,687.8856811523438,4.771975994110107
35.641335,-82.5551,687.1580200195312,4.771975994110107
35.641326,-82.555162,686.5106201171875,4.771975994110107
35.641306,-82.555222,686.1566162109375,4.771975994110107
35.641291,-82.555277,685.6871948242188,4.771975994110107
35.641259,-82.555332,685.0560913085938,4.771975994110107
35.641233,-82.555379,684.5090942382812,4.771975994110107
35.641215,-82.555439,683.7363891601562,4.771975994110107
35.641198,-82.555495,683.06494140625,4.771975994110107
35.641178,-82.555547,682.4678955078125,4.771975994110107
35.64116,-82.555601,681.760986328125,4.771975994110107
35.641137,-82.555663,680.827880859375,4.771975994110107
35.641118,-82.555723,679.8780517578125,4.771975994110107
35.641096,-82.555788,679.0230712890625,4.771975994110107
35.641081,-82.555856,678.8069458007812,4.771975994110107
35.641065,-82.55592,678.6543579101562,4.771975994110107
35.64105,-82.555972,678.3460083007812,4.771975994110107
35.641029,-82.556039,677.8340454101562,4.771975994110107
35.641014,-82.556093,677.4473266601562,4.771975994110107
35.640999,-82.556149,677.0153198242188,4.771975994110107
35.640979,-82.556199,676.6941528320312,4.771975994110107
35.64096,-82.556252,676.37646484375,4.771975994110107
35.640945,-82.556307,675.8475952148438,4.771975994110107
35.640929,-82.556361,675.3341674804688,4.771975994110107
35.640916,-82.556414,674.75390625,4.771975994110107
35.640902,-82.556485,673.872314453125,4.771975994110107
35.640897,-82.556543,673.1394653320312,4.771975994110107
35.640905,-82.556611,672.2266235351562,4.771975994110107
35.640903,-82.556685,671.2465209960938,4.771975994110107
35.640903,-82.556744,670.4927368164062,4.771975994110107
35.640898,-82.556814,669.5850219726562,4.771975994110107
35.640892,-82.556869,668.9766235351562,4.771975994110107
35.640887,-82.556928,668.2864990234375,4.771975994110107
35.640887,-82.556989,667.5735473632812,4.771975994110107
35.640886,-82.557049,666.8375244140625,4.771975994110107
35.640888,-82.557105,666.089111328125,4.771975994110107
35.640901,-82.557173,665.2395629882812,4.771975994110107
35.640898,-82.557247,664.2749633789062,4.771975994110107
35.640894,-82.557304,663.4479370117188,4.771975994110107
35.6409,-82.557367,662.5288696289062,4.771975994110107
35.640902,-82.55744,661.3328857421875,4.771975994110107
35.640894,-82.557511,660.5545043945312,4.771975994110107
35.640895,-82.55758,660.4345092773438,4.771975994110107
35.64085,-82.557602,660.4395141601562,4.771975994110107
35.640801,-82.557604,660.2066040039062,4.771975994110107
35.640772,-82.557663,660.2997436523438,4.771975994110107
35.64077,-82.557725,660.6060180664062,4.771975994110107
35.640735,-82.557768,660.6109008789062,4.771975994110107
35.640694,-82.557815,660.5999755859375,4.771975994110107
35.640675,-82.557874,661.1627807617188,4.771975994110107
35.640662,-82.557933,661.8063354492188,4.771975994110107
35.64066,-82.557997,662.0509033203125,4.771975994110107
35.640684,-82.558057,662.4363403320312,4.771975994110107
35.640684,-82.558113,662.591796875,4.771975994110107
35.640666,-82.558176,662.7420654296875,4.771975994110107
35.640647,-82.558231,662.6965942382812,4.771975994110107
35.640643,-82.558169,662.336669921875,4.771975994110107
35.640672,-82.558114,662.4985961914062,4.771975994110107
35.640665,-82.558184,662.763427734375,4.771975994110107
35.640716,-82.558183,662.916259765625,4.771975994110107
35.640725,-82.558246,663.0110473632812,4.771975994110107
35.64069,-82.558289,662.7811279296875,4.771975994110107
35.64066,-82.558242,662.7579345703125,4.771975994110107
35.640614,-82.558281,662.1928100585938,4.771975994110107
35.640565,-82.558311,661.305419921875,4.771975994110107
35.640507,-82.558333,661.0552978515625,4.771975994110107
35.640454,-82.558345,660.9190063476562,4.771975994110107
35.6404,-82.558347,659.6629638671875,4.771975994110107
35.640338,-82.558348,659.7545776367188,4.771975994110107
35.640281,-82.558352,659.5121459960938,4.771975994110107
35.640233,-82.558349,659.4661865234375,4.771975994110107
35.640178,-82.558349,659.3333740234375,4.771975994110107
35.640125,-82.558345,659.0792236328125,4.771975994110107
35.640075,-82.558346,658.8059692382812,4.771975994110107
35.640023,-82.558349,658.603271484375,4.771975994110107
35.639974,-82.558355,658.43798828125,4.771975994110107
35.639927,-82.558352,658.1724853515625,4.771975994110107
35.639881,-82.558355,657.8057250976562,4.771975994110107
35.639831,-82.558358,657.4839477539062,4.771975994110107
35.639781,-82.558359,657.2400512695312,4.771975994110107
35.639727,-82.558361,656.9825439453125,4.771975994110107
35.639679,-82.558357,656.7628784179688,4.771975994110107
35.639628,-82.558359,656.4859008789062,4.771975994110107
35.639576,-82.558362,656.2321166992188,4.771975994110107
35.639529,-82.558378,655.9273071289062,4.771975994110107
35.639487,-82.558413,655.6048583984375,4.771975994110107
35.639433,-82.558416,655.220947265625,4.771975994110107
35.639387,-82.558407,654.9395751953125,4.771975994110107
35.639333,-82.558391,654.533203125,4.771975994110107
35.639283,-82.558378,654.1734008789062,4.771975994110107
35.639227,-82.558371,653.8976440429688,4.771975994110107
35.639179,-82.558369,653.7603149414062,4.771975994110107
35.639132,-82.558367,653.6351928710938,4.771975994110107
35.639073,-82.558375,653.4000854492188,4.771975994110107
35.639024,-82.558379,653.0265502929688,4.771975994110107
35.638972,-82.558381,652.6871337890625,4.771975994110107
35.638916,-82.558386,652.4029541015625,4.771975994110107
35.638862,-82.558395,652.1715698242188,4.771975994110107
35.63881,-82.558399,651.9708251953125,4.771975994110107
35.638756,-82.5584,651.67431640625,4.771975994110107
