Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2022-06-03 20:55:39.02,2022-06-03 16:55:39.02,0,35.641323,-82.554925,10,692.0906639099121,12,0,1.5,1.516083088092153,272.8125,268.2343444824219,275.0667114257812,14.94157218933105,-5.441667877945524,0
2022-06-03 20:55:40.02,2022-06-03 16:55:40.02,0.5248086452484131,35.641304,-82.554907,10,694.3171043395996,12,0,1.220000028610229,1.516083088092153,272.8125,267.3638000488281,274.1961669921875,14.86834526062012,-105.0670366715789,0
2022-06-03 20:55:43.01,2022-06-03 16:55:43.01,3.520607471466064,35.641346,-82.554976,5,691.6021385192871,6,7.788777541638465,1.450000047683716,1.980783585886835,264.7265625,268.380859375,275.2132263183594,14.74111747741699,113.393907138285,0
2022-06-03 20:55:47.01,2022-06-03 16:55:47.01,7.514512658119202,35.641345,-82.555034,5,690.3238182067871,6,12.97617121272778,1.509999990463257,1.466666658719381,258.3984375,268.380859375,275.2132263183594,14.74111747741699,-17.30879567882598,0
2022-06-03 20:55:51.00,2022-06-03 16:55:51.00,11.51295256614685,35.641335,-82.555100,5,687.4134178161621,6,19.11427250745314,1.649999976158142,1.466666658719381,253.125,268.380859375,275.2132263183594,14.74111747741699,-7.922188627323488,0
2022-06-03 20:55:55.00,2022-06-03 16:55:55.00,15.50999689102173,35.641326,-82.555162,5,686.9720115661621,8,24.74664293837242,1.389999985694885,1.483333309491475,245.0390625,268.380859375,275.2132263183594,14.74111747741699,-6.032346500806094,0
2022-06-03 20:55:59.00,2022-06-03 16:55:59.00,19.50846529006958,35.641306,-82.555222,5,685.9964256286621,6,30.63155544638211,1.269999980926514,1.559999982515971,243.28125,268.380859375,275.2132263183594,14.74111747741699,-6.170560561086483,0
2022-06-03 20:56:03.00,2022-06-03 16:56:03.00,23.50689685344696,35.641291,-82.555277,5,685.0063133239746,6,35.94624494669812,1.379999995231628,1.630000034968058,257.34375,268.380859375,275.2132263183594,14.74111747741699,-6.473122165519918,0
2022-06-03 20:56:08.00,2022-06-03 16:56:08.00,28.50538766384125,35.641259,-82.555332,5,684.2493553161621,6,42.0644471994459,1.539999961853027,1.68666668732961,248.90625,268.380859375,275.2132263183594,14.74111747741699,-7.010421987547939,0
2022-06-03 20:56:12.00,2022-06-03 16:56:12.00,32.50444936752319,35.641233,-82.555379,5,682.8057518005371,6,47.14362081157884,1.429999947547913,1.68666668732961,249.9609375,268.380859375,275.2132263183594,14.74111747741699,-4.149476684847246,0
2022-06-03 20:56:15.00,2022-06-03 16:56:15.00,35.50386965274811,35.641215,-82.555439,5,683.2127342224121,6,52.91226519405535,1.679999947547913,1.429999947547913,252.0703125,268.380859375,275.2132263183594,14.74111747741699,-5.170934673613645,0
2022-06-03 20:56:18.00,2022-06-03 16:56:18.00,38.50337159633636,35.641198,-82.555495,5,683.9362449645996,6,58.39098546247802,1.620000004768372,1.696666638056437,243.984375,268.380859375,275.2132263183594,14.74111747741699,-6.234460192519341,0
2022-06-03 20:56:20.99,2022-06-03 16:56:20.99,41.50294137001038,35.641178,-82.555547,5,684.3875389099121,4,63.53905033524547,1.700000047683716,1.696666638056437,238.7109375,268.380859375,275.2132263183594,14.74111747741699,-9.652708592061693,0
2022-06-03 20:56:23.99,2022-06-03 16:56:23.99,44.50257110595703,35.641160,-82.555601,5,684.6927146911621,4,68.88340029587752,1.580000042915344,1.670000036557515,240.46875,268.380859375,275.2132263183594,14.74111747741699,-24.70248012538564,0
2022-06-03 20:56:27.99,2022-06-03 16:56:27.99,48.50214803218842,35.641137,-82.555663,5,685.4364891052246,3,75.05306016003577,1.539999961853027,1.606666644414266,244.3359375,268.380859375,275.2132263183594,14.74111747741699,-57.14352978663067,0
2022-06-03 20:56:31.99,2022-06-03 16:56:31.99,52.50178873538971,35.641118,-82.555723,5,685.6099510192871,3,80.82013846555049,1.440000057220459,1.606666644414266,252.421875,268.380859375,275.2132263183594,14.74111747741699,-133.5178285957972,0
2022-06-03 20:56:35.99,2022-06-03 16:56:35.99,56.50152170658112,35.641096,-82.555788,5,685.4407615661621,3,87.24090345181118,1.610000014305115,1.546666701634725,248.203125,268.380859375,275.2132263183594,14.74111747741699,117.0375475251342,0
2022-06-03 20:56:39.99,2022-06-03 16:56:39.99,60.50120866298676,35.641081,-82.555856,5,685.5791893005371,3,93.5966248782097,1.620000004768372,1.610000014305115,253.828125,268.380859375,275.2132263183594,14.74111747741699,27.85281637170918,0
2022-06-03 20:56:43.99,2022-06-03 16:56:43.99,64.50096595287323,35.641065,-82.555920,5,685.1267967224121,3,99.61659614524503,1.470000028610229,1.570000012715657,251.71875,268.380859375,275.2132263183594,14.74111747741699,20.95912345796415,0
2022-06-03 20:56:46.99,2022-06-03 16:56:46.99,67.50080168247223,35.641050,-82.555972,5,684.9251365661621,3,104.6331388340209,1.620000004768372,1.570000012715657,254.1796875,268.380859375,275.2132263183594,14.74111747741699,27.93848551294527,0
2022-06-03 20:56:50.99,2022-06-03 16:56:50.99,71.50059771537781,35.641029,-82.556039,5,684.2664451599121,3,111.1057471723762,1.629999995231628,1.629999995231628,247.1484375,268.380859375,275.2132263183594,14.74111747741699,393.5141718903643,0
2022-06-03 20:56:53.99,2022-06-03 16:56:53.99,74.50045430660248,35.641014,-82.556093,5,684.1943016052246,3,116.3183288386121,1.620000004768372,1.599999984105428,252.7734375,268.380859375,275.2132263183594,14.74111747741699,-70.91768849536925,0
2022-06-03 20:56:56.99,2022-06-03 16:56:56.99,77.50031709671021,35.640999,-82.556149,5,683.5754051208496,4,121.5740546082524,1.629999995231628,1.599999984105428,247.1484375,268.380859375,275.2132263183594,14.74111747741699,-33.63946630915363,0
2022-06-03 20:56:59.99,2022-06-03 16:56:59.99,80.50018644332886,35.640979,-82.556199,5,683.2315330505371,3,126.6621125609377,1.649999976158142,1.643333315849304,242.9296875,268.380859375,275.2132263183594,14.74111747741699,-23.08766693673752,0
2022-06-03 20:57:02.99,2022-06-03 16:57:02.99,83.50005984306335,35.640960,-82.556252,5,682.9571189880371,3,131.918697600717,1.610000014305115,1.649999976158142,248.203125,268.380859375,275.2132263183594,14.74111747741699,-20.31906874306476,0
2022-06-03 20:57:05.99,2022-06-03 16:57:05.99,86.49993693828583,35.640945,-82.556307,5,682.8460350036621,3,137.1872977076911,1.669999957084656,1.649999976158142,253.4765625,268.380859375,275.2132263183594,14.74111747741699,-18.84332215538278,0
2022-06-03 20:57:08.99,2022-06-03 16:57:08.99,89.49981713294983,35.640929,-82.556361,5,682.9407615661621,3,142.3458795778816,1.700000047683716,1.653333306312561,254.53125,268.380859375,275.2132263183594,14.74111747741699,-22.13550699157216,0
2022-06-03 20:57:11.99,2022-06-03 16:57:11.99,92.49970018863678,35.640916,-82.556414,5,683.1060447692871,3,147.3461903764676,1.629999995231628,1.653333306312561,255.234375,268.380859375,275.2132263183594,14.74111747741699,-20.15121205044827,0
2022-06-03 20:57:15.99,2022-06-03 16:57:15.99,96.49954748153687,35.640902,-82.556485,5,682.8689842224121,3,153.9322405375258,1.830000042915344,1.603333314259847,258.75,268.380859375,275.2132263183594,14.74111747741699,-23.98737196331588,0
2022-06-03 20:57:18.99,2022-06-03 16:57:18.99,99.49943506717682,35.640897,-82.556543,5,682.3794822692871,3,159.2749000505556,1.610000014305115,1.756666700045268,267.1875,268.380859375,275.2132263183594,14.74111747741699,-24.23884541023426,0
2022-06-03 20:57:22.99,2022-06-03 16:57:22.99,103.4992883205414,35.640905,-82.556611,5,682.5147361755371,4,165.4679409927774,1.5,1.770000020662944,269.296875,268.380859375,275.2132263183594,14.74111747741699,-27.4554947335216,0
2022-06-03 20:57:26.99,2022-06-03 16:57:26.99,107.499139547348,35.640903,-82.556685,5,682.1250877380371,4,172.17763898986,1.610000014305115,1.770000020662944,264.7265625,268.380859375,275.2132263183594,14.74111747741699,-30.53728495026488,0
2022-06-03 20:57:29.99,2022-06-03 16:57:29.99,110.499032497406,35.640903,-82.556744,5,681.9247703552246,4,177.5084503601294,1.600000023841858,1.600000023841858,268.9453125,268.380859375,275.2132263183594,14.74111747741699,-42.15279995010681,0
2022-06-03 20:57:33.99,2022-06-03 16:57:33.99,114.4988876581192,35.640898,-82.556814,5,681.9954490661621,4,183.8385380307918,1.639999985694885,1.600000023841858,263.3203125,268.380859375,275.2132263183594,14.74111747741699,-53.54363573283765,0
2022-06-03 20:57:36.99,2022-06-03 16:57:36.99,117.4987803697586,35.640892,-82.556869,5,681.4732322692871,4,188.9105929658285,1.669999957084656,1.600000023841858,259.8046875,268.380859375,275.2132263183594,14.74111747741699,-48.31594416617033,0
2022-06-03 20:57:39.99,2022-06-03 16:57:39.99,120.4987013339996,35.640887,-82.556928,5,681.0461082458496,4,194.2600110641198,1.690000057220459,1.683333357175191,266.1328125,268.380859375,275.2132263183594,14.74111747741699,-28.86273486117034,0
2022-06-03 20:57:42.99,2022-06-03 16:57:42.99,123.4985673427582,35.640887,-82.556989,5,680.8354148864746,4,199.7584804633342,1.669999957084656,1.716666698455811,269.296875,268.380859375,275.2132263183594,14.74111747741699,-23.47617819817111,0
2022-06-03 20:57:45.99,2022-06-03 16:57:45.99,126.4984611272812,35.640886,-82.557049,5,681.0646629333496,4,205.1800212646671,1.75,1.716666698455811,272.4609375,268.380859375,275.2132263183594,14.74111747741699,-25.32736324831138,0
2022-06-03 20:57:48.99,2022-06-03 16:57:48.99,129.4983552694321,35.640888,-82.557105,5,680.2607078552246,4,210.2698542245415,1.600000023841858,1.746666669845581,274.5703125,268.380859375,275.2132263183594,14.74111747741699,-25.01719125157844,0
2022-06-03 20:57:52.99,2022-06-03 16:57:52.99,133.4982135295868,35.640901,-82.557173,5,678.3572654724121,4,216.5684700779182,1.600000023841858,1.880000034968058,268.9453125,268.380859375,275.2132263183594,14.74111747741699,-12.42098399320286,0
2022-06-03 20:57:56.99,2022-06-03 16:57:56.99,137.4980738162994,35.640898,-82.557247,5,678.9185447692871,3,223.2781680750008,1.830000042915344,1.880000034968058,272.4609375,268.380859375,275.2132263183594,14.74111747741699,-15.78277047683015,0
2022-06-03 20:57:59.99,2022-06-03 16:57:59.99,140.497967839241,35.640894,-82.557304,5,676.9034080505371,4,228.4559756261165,1.639999985694885,1.833333373069763,270,268.380859375,275.2132263183594,14.74111747741699,-12.60918593498683,0
2022-06-03 20:58:03.99,2022-06-03 16:58:03.99,144.4978272914886,35.640900,-82.557367,5,675.3287010192871,6,234.1892798084221,1.429999947547913,1.666666666666667,280.546875,268.380859375,275.2132263183594,14.74111747741699,-7.774317478386242,0
2022-06-03 20:58:07.99,2022-06-03 16:58:07.99,148.497687458992,35.640902,-82.557440,5,674.9462547302246,6,240.7876621245529,1.600000023841858,1.700000007947286,269.6484375,268.380859375,275.2132263183594,14.74111747741699,-7.678036814875377,0
2022-06-03 20:58:11.99,2022-06-03 16:58:11.99,152.4975463151932,35.640894,-82.557511,5,675.2305564880371,4,247.2574787403983,1.529999971389771,1.700000007947286,268.2421875,268.380859375,275.2132263183594,14.74111747741699,-8.690789437527023,0
2022-06-03 20:58:15.99,2022-06-03 16:58:15.99,156.4974064826965,35.640895,-82.557580,5,674.8330955505371,3,253.4905009948401,1.620000004768372,1.5,273.8671875,268.380859375,275.2132263183594,14.74111747741699,-8.249027464050494,0
2022-06-03 20:58:20.99,2022-06-03 16:58:20.99,161.4972314834595,35.640850,-82.557602,5,673.7173728942871,3,258.8769397293094,1.259999990463257,1.413333336512248,203.203125,268.380859375,275.2132263183594,14.74111747741699,-9.307878996355543,0
2022-06-03 20:58:28.99,2022-06-03 16:58:28.99,169.4969670772552,35.640801,-82.557604,5,673.2814598083496,4,264.3034765760594,0.1800000071525574,0,203.203125,268.380859375,275.2132263183594,14.74111747741699,-6.940704861665974,0
2022-06-03 20:58:35.99,2022-06-03 16:58:35.99,176.4967060089111,35.640772,-82.557663,5,672.3251609802246,3,270.5985061307604,1.5,0.7266666690508524,258.046875,268.380859375,275.2132263183594,14.74111747741699,-13.61159231585617,0
2022-06-03 20:59:44.99,2022-06-03 16:59:44.99,245.4942923784256,35.640770,-82.557725,5,668.6385154724121,4,276.1321831243329,1.200000047683716,0.4199999968210856,246.796875,268.380859375,275.2132263183594,14.74111747741699,-14.16476018976325,0
2022-06-03 20:59:48.99,2022-06-03 16:59:48.99,249.4941536188126,35.640735,-82.557768,5,666.6056785583496,4,281.6405005363321,1.320000052452087,1.370000004768372,217.265625,268.380859375,275.2132263183594,14.74111747741699,-6.167917400428364,0
2022-06-03 20:59:52.99,2022-06-03 16:59:52.99,253.4940135478973,35.640694,-82.557815,5,666.1678123474121,3,287.8916115810672,1.5,1.519999980926514,241.5234375,268.380859375,275.2132263183594,14.74111747741699,-6.671881523878093,0
2022-06-03 20:59:56.99,2022-06-03 16:59:56.99,257.4938740730286,35.640675,-82.557874,5,665.6322898864746,3,293.6508531139638,1.169999957084656,1.519999980926514,253.4765625,268.380859375,275.2132263183594,14.74111747741699,-6.575956956635551,0
2022-06-03 21:00:00.99,2022-06-03 17:00:00.99,261.4937332868576,35.640662,-82.557933,5,665.3326072692871,3,299.1427473605731,1.190000057220459,1.270000020662944,245.390625,268.380859375,275.2132263183594,14.74111747741699,-8.703345086980846,0
2022-06-03 21:00:04.99,2022-06-03 17:00:04.99,265.4935930967331,35.640660,-82.557997,5,664.8662986755371,3,305.0045907382009,0.6200000047683716,1.180000027020772,259.8046875,268.380859375,275.2132263183594,14.74111747741699,-10.0331104404026,0
