Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2022-06-03 16:12:49.99,2022-06-03 12:12:49.99,0,35.616050,-82.565750,10,649.7339744567871,6,0,0.2099999934434891,0,216.5625,43.6376953125,50.47237396240234,13.03572845458984,-2.708172934713879,0
2022-06-03 16:12:51.99,2022-06-03 12:12:51.99,0.9770016670227051,35.616032,-82.565749,10,649.3277244567871,6,0,0.5600000023841858,0,209.8828125,50.35281753540039,57.18749618530273,13.036696434021,-2.286278535864753,0
2022-06-03 16:12:56.99,2022-06-03 12:12:56.99,5.976864337921143,35.616060,-82.565694,10,649.2670555114746,4,5.829393224299797,1.309999942779541,0.3233333329359691,37.265625,66.21783447265625,73.05251312255859,12.75381755828857,-3.099308617100678,0
2022-06-03 16:13:01.99,2022-06-03 12:13:01.99,10.97671854496002,35.616087,-82.565648,10,648.0706443786621,4,11.00807297411642,1.490000009536743,1.209999958674113,33.3984375,70.42928314208984,77.26396179199219,12.50924396514893,-11.09698269630036,0
2022-06-03 16:13:05.99,2022-06-03 12:13:05.99,14.97691917419434,35.616125,-82.565614,25,647.2933006286621,4,16.14559932022756,1.580000042915344,1.43666668732961,37.96875,46.99358749389648,53.82826614379883,12.48190402984619,-26.30940099640694,0
2022-06-03 16:13:10.99,2022-06-03 12:13:10.99,19.97710597515106,35.616154,-82.565568,25,647.2032127380371,6,21.40733703404887,1.100000023841858,1.580000042915344,29.1796875,270.5353240966797,277.370002746582,12.23194217681885,-26.30940099640694,0
2022-06-03 16:13:14.99,2022-06-03 12:13:14.99,23.97718274593353,35.616190,-82.565533,25,646.8848533630371,6,26.57816169924819,1.370000004768372,1.073333342870076,40.078125,279.2523193359375,286.0869979858398,12.15424728393555,-26.30940099640694,0
2022-06-03 16:13:18.99,2022-06-03 12:13:18.99,27.97721076011658,35.616224,-82.565477,25,647.1399803161621,4,32.91538025836146,1.389999985694885,1.403333346048991,32.6953125,254.1957092285156,261.030387878418,12.15054035186768,-26.30940099640694,0
2022-06-03 16:13:23.99,2022-06-03 12:13:23.99,32.97719466686249,35.616267,-82.565440,25,647.7725486755371,6,38.72303931773827,0.2899999916553497,1.389999945958455,41.8359375,274.7987365722656,281.633415222168,12.11595821380615,-26.30940099640694,0
2022-06-03 16:13:26.99,2022-06-03 12:13:26.99,35.9771625995636,35.616307,-82.565384,25,648.2835350036621,6,45.46094920377719,1.309999942779541,1.389999945958455,54.84375,259.8646850585938,266.6993637084961,12.08967590332031,-26.30940099640694,0
2022-06-03 16:13:30.99,2022-06-03 12:13:30.99,39.97710144519806,35.616353,-82.565370,25,648.3221092224121,6,50.73725883458298,1.259999990463257,1.782514644503693,320.2734375,181.8111891746521,188.6458683013916,12.07221126556396,-26.30940099640694,0
2022-06-03 16:13:33.99,2022-06-03 12:13:33.99,42.97704434394836,35.616385,-82.565409,25,648.1455955505371,4,55.83949955471753,1.389999985694885,1.236666639645894,314.296875,176.6957702636719,-176.4695596694946,12.06302928924561,-26.30940099640694,0
2022-06-03 16:13:37.99,2022-06-03 12:13:37.99,46.9769549369812,35.616425,-82.565462,25,648.1462059020996,4,62.36838344081099,1.539999961853027,1.460000038146973,308.3203125,193.2888889312744,200.1235675811768,12.04988098144531,-26.30940099640694,0
2022-06-03 16:13:40.99,2022-06-03 12:13:40.99,49.97688210010529,35.616460,-82.565502,25,647.7715721130371,4,67.61981075077286,1.399999976158142,1.460000038146973,309.0234375,172.422607421875,179.2572937011719,12.03622817993164,-26.30940099640694,0
2022-06-03 16:13:44.99,2022-06-03 12:13:44.99,53.97677481174469,35.616491,-82.565556,25,647.7813377380371,4,73.64428181008994,1.5,1.579999963442485,312.890625,178.0199890136719,-175.1453275680542,12.03466320037842,-26.30940099640694,0
2022-06-03 16:13:48.99,2022-06-03 12:13:48.99,57.97666132450104,35.616525,-82.565610,25,647.8045310974121,3,79.82271994740597,1.299999952316284,1.283333301544189,301.2890625,186.132068157196,192.9667472839355,12.03485202789307,-26.30940099640694,0
2022-06-03 16:13:52.99,2022-06-03 12:13:52.99,61.97654068470001,35.616558,-82.565653,25,647.4016990661621,3,85.20748144729176,1.299999952316284,1.353333314259847,317.4609375,177.67919921875,-175.4861326217651,12.03083992004395,-26.30940099640694,0
2022-06-03 16:13:56.99,2022-06-03 12:13:56.99,65.97641980648041,35.616594,-82.565701,10,647.5192527770996,3,91.09009111330053,1.679999947547913,1.353333314259847,304.8046875,186.9169421195984,193.7516212463379,12.03024291992188,-59.23793775718924,0
2022-06-03 16:14:00.99,2022-06-03 12:14:00.99,69.97629189491272,35.616628,-82.565754,10,647.8037986755371,3,97.21345858626144,1.649999976158142,1.473333319028219,310.78125,173.9180603027344,-179.2472677826881,12.0273904800415,-529.9287584760318,0
2022-06-03 16:14:04.99,2022-06-03 12:14:04.99,73.97616231441498,35.616658,-82.565805,10,647.8588523864746,3,102.8554433122537,1.460000038146973,1.606666644414266,301.640625,199.2494678497314,206.0841464996338,12.02854061126709,-80.02663319007593,0
2022-06-03 16:14:08.99,2022-06-03 12:14:08.99,77.97603106498718,35.616677,-82.565861,10,647.3982810974121,3,108.3596595268918,1.279999971389771,1.426666657129924,271.40625,126.0211181640625,132.8558044433594,12.02828025817871,-20.32686475256545,0
