Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2022-06-03 14:20:17.00,2022-06-03 10:20:17.00,0,35.616298,-82.565378,25,653.7884178161621,6,0,0,0,198.6328125,296.7461547851562,303.5785217285156,12.1992883682251,0,0
2022-06-03 14:20:18.00,2022-06-03 10:20:18.00,0.5544400215148926,35.616298,-82.565378,25,654.0596580505371,6,0.09504164755344391,0,0,198.6328125,296.7461547851562,303.5785217285156,12.1992883682251,0,0
2022-06-03 14:20:22.99,2022-06-03 10:20:22.99,5.554271459579468,35.616341,-82.565428,25,653.5704002380371,6,6.681091808611574,1.25,0,303.3984375,325.8240051269531,332.6563720703125,12.08168029785156,0,0
2022-06-03 14:20:25.99,2022-06-03 10:20:25.99,8.554168701171875,35.616379,-82.565465,25,654.1138572692871,4,12.01867676658184,1.690000057220459,1.283333341280619,311.1328125,326.8358459472656,333.668212890625,12.08149242401123,0,0
2022-06-03 14:20:28.99,2022-06-03 10:20:28.99,11.55406332015991,35.616427,-82.565516,25,654.9976463317871,4,19.13094241897239,1.740000009536743,1.283333341280619,316.7578125,326.8358459472656,333.668212890625,12.08149242401123,0,0
2022-06-03 14:20:31.99,2022-06-03 10:20:31.99,14.55396974086761,35.616472,-82.565565,25,654.8245506286621,3,25.76754489440587,1.690000057220459,2.037380413215416,318.1640625,326.8358459472656,333.668212890625,12.08149242401123,0,0
2022-06-03 14:20:34.99,2022-06-03 10:20:34.99,17.55384933948517,35.616506,-82.565609,25,654.2654685974121,3,31.28159885811726,1.720000028610229,1.700000047683716,311.1328125,326.8358459472656,333.668212890625,12.08149242401123,0,0
2022-06-03 14:20:38.99,2022-06-03 10:20:38.99,21.5537052154541,35.616544,-82.565666,25,653.5118064880371,3,37.97107266171081,1.600000023841858,1.700000047683716,312.5390625,326.8358459472656,333.668212890625,12.08149242401123,0,0
2022-06-03 14:20:41.99,2022-06-03 10:20:41.99,24.55359661579132,35.616578,-82.565708,5,653.5872459411621,3,43.30865761968108,1.820000052452087,1.636666695276896,313.2421875,326.8358459472656,333.668212890625,12.08149242401123,-27.06267510911872,0
2022-06-03 14:20:44.99,2022-06-03 10:20:44.99,27.55348753929138,35.616609,-82.565755,5,654.0013084411621,3,48.76838460369071,1.570000052452087,1.683333357175191,301.9921875,326.8358459472656,333.668212890625,12.08149242401123,21.92562860010618,0
2022-06-03 14:20:47.99,2022-06-03 10:20:47.99,30.55337607860565,35.616652,-82.565804,5,653.6846580505371,3,55.37224048552106,2.019999980926514,1.683333357175191,319.21875,326.8358459472656,333.668212890625,12.08149242401123,40.24523967505525,0
2022-06-03 14:20:51.99,2022-06-03 10:20:51.99,34.5532283782959,35.616691,-82.565856,5,653.0931053161621,3,61.74286730398597,1.629999995231628,2.035356189083424,309.7265625,326.8358459472656,333.668212890625,12.08149242401123,-156.0497405834495,0
2022-06-03 14:20:55.99,2022-06-03 10:20:55.99,38.55308043956757,35.616727,-82.565909,5,652.7615623474121,3,67.98385508532583,1.620000004768372,1.629999995231628,310.4296875,326.8358459472656,333.668212890625,12.08149242401123,-60.42706431352138,0
2022-06-03 14:20:59.99,2022-06-03 10:20:59.99,42.5529351234436,35.616747,-82.565964,5,652.7337303161621,3,73.46998960906406,1.470000028610229,1.616666674613953,277.734375,326.8358459472656,333.668212890625,12.08149242401123,-42.72764547271247,0
2022-06-03 14:21:04.99,2022-06-03 10:21:04.99,47.55274772644043,35.616761,-82.566032,5,652.1791648864746,3,79.75855867218421,1.340000033378601,1.463333328564962,298.125,326.8358459472656,333.668212890625,12.08149242401123,-36.39490434349872,0
2022-06-03 14:21:08.99,2022-06-03 10:21:08.99,51.55260002613068,35.616798,-82.566076,5,652.0108299255371,3,85.51230811327513,1.149999976158142,1.463333328564962,302.6953125,326.8358459472656,333.668212890625,12.08149242401123,-29.73561427858932,0
2022-06-03 14:21:12.99,2022-06-03 10:21:12.99,55.55245113372803,35.616839,-82.566124,5,652.0774803161621,3,91.8523767820711,1.600000023841858,1.393333315849304,298.4765625,326.8358459472656,333.668212890625,12.08149242401123,-34.79620998111937,0
2022-06-03 14:21:15.99,2022-06-03 10:21:15.99,58.5523396730423,35.616820,-82.566175,5,652.0132713317871,3,96.93155039420405,1.779999971389771,1.737162688233267,238.359375,326.8358459472656,333.668212890625,12.08149242401123,-24.38687697911821,0
2022-06-03 14:21:18.99,2022-06-03 10:21:18.99,61.55222773551941,35.616774,-82.566216,5,651.8277244567871,3,103.3043037084673,1.639999985694885,1.737162688233267,228.1640625,326.8358459472656,333.668212890625,12.08149242401123,-25.36200963146515,0
2022-06-03 14:21:21.99,2022-06-03 10:21:21.99,64.55211591720581,35.616727,-82.566228,5,651.2089500427246,3,108.5959986907946,1.75,1.928678641026756,210.234375,326.8358459472656,333.668212890625,12.08149242401123,-23.03723595430819,0
2022-06-03 14:21:24.99,2022-06-03 10:21:24.99,67.55200469493866,35.616680,-82.566249,5,651.0108299255371,4,114.1816667452401,1.559999942779541,1.719550418970643,227.109375,326.8358459472656,333.668212890625,12.08149242401123,-26.2016827397626,0
2022-06-03 14:21:27.99,2022-06-03 10:21:27.99,70.5518923997879,35.616643,-82.566280,5,651.0309715270996,3,119.1964084852274,1.299999952316284,1.719550418970643,217.265625,326.8358459472656,333.668212890625,12.08149242401123,-28.1851326559809,0
