latitude,longitude,elevation
32.897682,-117.244546,116.3945999145508
32.89768004570919,-117.2444926091223,116.7159805297852
32.89767809139558,-117.2444392182469,116.9909973144531
32.89767613705916,-117.2443858273739,117.2696380615234
32.89767418269995,-117.2443324365032,117.5592041015625
32.89767222831794,-117.2442790456349,117.8768310546875
32.89767027391314,-117.2442256547689,118.1813507080078
32.89766831948555,-117.2441722639052,118.4993362426758
32.89766636503514,-117.2441188730439,118.8203277587891
32.89766441056194,-117.244065482185,119.1279983520508
32.89766245606594,-117.2440120913284,119.4664764404297
32.89766050154716,-117.2439587004741,119.8168258666992
32.89763717728619,-117.2445402483418,116.4055480957031
32.89763717728619,-117.2445402483418,116.4055480957031
32.89763518070362,-117.2444868596896,116.6385650634766
32.89763318409825,-117.2444334710398,116.8954925537109
32.89763118747008,-117.2443800823925,117.2749099731445
32.89762919081912,-117.2443266937475,117.5722579956055
32.89762719414536,-117.2442733051049,117.8845062255859
32.89762519744881,-117.2442199164647,118.1852264404297
32.89762320072947,-117.2441665278269,118.4892578125
32.89762120398732,-117.2441131391915,118.8109283447266
32.89761920722238,-117.2440597505585,119.1073226928711
32.89761721043465,-117.2440063619279,119.417839050293
32.89761521362411,-117.2439529732997,119.7554321289062
32.89759235457178,-117.2445344966894,116.3915710449219
32.89759235457178,-117.2445344966894,116.3915710449219
32.8975903148777,-117.2444811103539,116.6655883789062
32.89758827516084,-117.2444277240209,116.9507751464844
32.89758623542118,-117.2443743376903,117.296875
32.89758419565872,-117.2443209513622,117.5832061767578
32.89758215587347,-117.2442675650365,117.8840713500977
32.89758011606542,-117.2442141787133,118.1748123168945
32.89757807623459,-117.2441607923925,118.4768676757812
32.89757603638095,-117.2441074060742,118.7816696166992
32.89757399650453,-117.2440540197583,119.0553131103516
32.89757195660531,-117.2440006334449,119.3489837646484
32.8975699166833,-117.2439472471339,119.6847457885742
32.89754753185679,-117.2445287450427,116.4131546020508
32.89754753185679,-117.2445287450427,116.4131546020508
32.89754544820752,-117.2444753611193,116.517692565918
32.89754336453546,-117.2444219771983,116.8428115844727
32.89754128084061,-117.2443685932798,117.2540512084961
32.89753919712297,-117.2443152093638,117.5534133911133
32.89753711338253,-117.2442618254503,117.8453140258789
32.89753502961931,-117.2442084415393,118.1365966796875
32.8975329458333,-117.2441550576309,118.4283599853516
32.89753086202448,-117.2441016737249,118.7293167114258
32.89752877819288,-117.2440482898214,118.9926147460938
32.89752669433848,-117.2439949059204,119.270622253418
32.8975027091412,-117.2445229934019,116.3185653686523
32.89750270914121,-117.2445229934019,116.3185653686523
32.89750058066817,-117.24446961199,116.2921676635742
32.89749845217236,-117.2444162305807,116.6017684936523
32.89749632365373,-117.2443628491739,117.1738815307617
32.89749419511233,-117.2443094677697,117.4790191650391
32.89749206654814,-117.244256086368,117.782096862793
32.89748993796115,-117.2442027049689,118.0651626586914
32.89748780935138,-117.2441493235723,118.3500366210938
32.89748568071882,-117.2440959421783,118.6765899658203
32.89748355206347,-117.2440425607868,118.9390640258789
32.89748142338534,-117.2439891793979,119.2080307006836
32.89745788642504,-117.2445172417669,116.2631301879883
32.89745788642504,-117.2445172417669,116.2631301879883
32.89745571223379,-117.2444638629707,116.3010635375977
32.89745353801978,-117.2444104841772,116.6666412353516
32.89745136378296,-117.2443571053863,117.1258926391602
32.89744918952335,-117.244303726598,117.40771484375
32.89744701524096,-117.2442503478123,117.7173843383789
32.89744484093578,-117.2441969690292,117.9948120117188
32.89744266660782,-117.2441435902488,118.2912826538086
32.89744049225706,-117.2440902114709,118.6027755737305
32.89743831788352,-117.2440368326956,118.8527145385742
32.89743614348719,-117.243983453923,119.1174087524414
32.89741306370828,-117.2445114901376,116.1673278808594
32.89741306370827,-117.2445114901376,116.1673278808594
32.89741084287749,-117.2444581140662,116.4408111572266
32.89740862202392,-117.2444047379975,116.7875671386719
32.89740640114756,-117.2443513619315,117.0594024658203
32.89740418024842,-117.2442979858681,117.3433456420898
32.8974019593265,-117.2442446098074,117.6567764282227
32.89739973838179,-117.2441912337494,117.9470291137695
32.8973975174143,-117.244137857694,118.2190399169922
32.89739529642402,-117.2440844816413,118.5066680908203
32.89739307541095,-117.2440311055912,118.7523040771484
32.8973908543751,-117.2439777295438,119.0325698852539
32.89736824099094,-117.2445057385142,115.9614944458008
32.89736824099094,-117.2445057385142,115.9614944458008
32.89736597257129,-117.2444523652816,116.4050140380859
32.89736370412886,-117.2443989920518,116.7727966308594
32.89736143566365,-117.2443456188247,117.0098190307617
32.89735916717565,-117.2442922456004,117.2762756347656
32.89735689866487,-117.2442388723787,117.5906982421875
32.8973546301313,-117.2441854991598,117.8601531982422
32.89735236157497,-117.2441321259436,118.1135635375977
32.89735009299584,-117.2440787527301,118.3931579589844
32.89734782439393,-117.2440253795193,118.6796646118164
32.89734555576923,-117.2439720063113,119.0111618041992
32.89732341827301,-117.2444999868965,115.8787994384766
32.89732341827301,-117.2444999868965,115.8787994384766
32.89732110128606,-117.2444466166222,116.3493118286133
32.89731878427634,-117.2443932463508,116.747428894043
32.89731646724382,-117.2443398760821,116.9904479980469
32.89731415018854,-117.2442865058161,117.226188659668
32.89731183311046,-117.244233135553,117.518684387207
32.89730951600961,-117.2441797652926,117.7830200195312
32.89730719888598,-117.244126395035,118.0315170288086
32.89730488173957,-117.2440730247802,118.3313140869141
32.89730256457038,-117.2440196545282,118.6121673583984
32.89730024737841,-117.243966284279,118.9690093994141
32.89727859555452,-117.2444942352846,116.0250473022461
32.89727859555452,-117.2444942352846,116.0250473022461
