latitude,longitude,elevation,resolution,offset-x,offset-y
35.64240864470986,-82.55868647748001,682.0042114257812,4.771975994110107,0,0
35.64236358033395,-82.55868647748002,681.6505126953125,4.771975994110107,0,5
35.6423185159577,-82.55868647748002,680.9296264648438,4.771975994110107,0,10
35.64227345158112,-82.55868647748001,679.9791259765625,4.771975994110107,0,15
35.6422283872042,-82.55868647748002,679.0955200195312,4.771975994110107,0,20
35.64218332282693,-82.55868647748001,678.6288452148438,4.771975994110107,0,25
35.64213825844933,-82.55868647748002,677.8930053710938,4.771975994110107,0,30
35.64209319407139,-82.55868647748002,676.3396606445312,4.771975994110107,0,35
35.64204812969312,-82.55868647748001,674.808837890625,4.771975994110107,0,40
35.6420030653145,-82.55868647748002,674.1873168945312,4.771975994110107,0,45
35.64195800093556,-82.55868647748001,674.0325317382812,4.771975994110107,0,50
35.64191293655627,-82.55868647748002,673.9052734375,4.771975994110107,0,55
35.64186787217664,-82.55868647748004,673.5735473632812,4.771975994110107,0,60
35.64182280779668,-82.55868647748002,672.6099243164062,4.771975994110107,0,65
35.64177774341638,-82.55868647748002,671.128173828125,4.771975994110107,0,70
35.64173267903574,-82.55868647748001,670.1915893554688,4.771975994110107,0,75
35.64168761465476,-82.55868647748002,669.730712890625,4.771975994110107,0,80
35.64164255027345,-82.55868647748001,669.3607177734375,4.771975994110107,0,85
35.64159748589179,-82.55868647748002,669.0416259765625,4.771975994110107,0,90
35.6415524215098,-82.55868647748002,668.3662719726562,4.771975994110107,0,95
35.64150735712747,-82.55868647748004,668.2496337890625,4.771975994110107,0,100
35.64146229274481,-82.55868647748004,667.9757080078125,4.771975994110107,0,105
35.6414172283618,-82.55868647748002,667.7576904296875,4.771975994110107,0,110
35.64137216397846,-82.55868647748004,667.4395751953125,4.771975994110107,0,115
35.64132709959478,-82.55868647748002,667.1202392578125,4.771975994110107,0,120
35.64128203521075,-82.55868647748004,666.8848876953125,4.771975994110107,0,125
35.64123697082641,-82.55868647748004,666.578857421875,4.771975994110107,0,130
35.64119190644171,-82.55868647748002,666.2756958007812,4.771975994110107,0,135
35.64114684205668,-82.55868647748002,665.8373413085938,4.771975994110107,0,140
35.64110177767131,-82.55868647748002,665.3927612304688,4.771975994110107,0,145
35.6410567132856,-82.55868647748002,665.331298828125,4.771975994110107,0,150
35.64101164889955,-82.55868647748002,665.194580078125,4.771975994110107,0,155
35.64096658451317,-82.55868647748001,664.9544677734375,4.771975994110107,0,160
35.64092152012645,-82.55868647748001,664.5926513671875,4.771975994110107,0,165
35.64087645573939,-82.55868647748002,664.2686767578125,4.771975994110107,0,170
35.64083139135199,-82.55868647748002,664.0213012695312,4.771975994110107,0,175
35.64078632696425,-82.55868647748002,663.8806762695312,4.771975994110107,0,180
35.64074126257619,-82.55868647748002,663.7044677734375,4.771975994110107,0,185
35.64069619818778,-82.55868647748002,663.2184448242188,4.771975994110107,0,190
35.64065113379903,-82.55868647748001,662.6453247070312,4.771975994110107,0,195
35.64060606940994,-82.55868647748001,662.489013671875,4.771975994110107,0,200
35.64056100502052,-82.55868647748001,662.6511840820312,4.771975994110107,0,205
35.64051594063076,-82.55868647748001,662.545166015625,4.771975994110107,0,210
35.64047087624065,-82.55868647748004,662.3773803710938,4.771975994110107,0,215
35.64042581185022,-82.55868647748002,662.22705078125,4.771975994110107,0,220
35.64038074745945,-82.55868647748001,662.0423583984375,4.771975994110107,0,225
35.64033568306833,-82.55868647748002,661.89794921875,4.771975994110107,0,230
35.64029061867688,-82.55868647748004,661.8793334960938,4.771975994110107,0,235
35.64024555428509,-82.55868647748002,661.841064453125,4.771975994110107,0,240
35.64020048989295,-82.55868647748004,661.7003784179688,4.771975994110107,0,245
35.64015542550049,-82.55868647748002,661.48486328125,4.771975994110107,0,250
35.64011036110769,-82.55868647748001,661.1486206054688,4.771975994110107,0,255
35.64010679569583,-82.55868647748002,661.117919921875,4.771975994110107,0,255.39559080061204
35.6424086456905,-82.5586312709358,680.5858764648438,4.771975994110107,5,0
35.6423635813146,-82.55863127093579,680.2012939453125,4.771975994110107,5,5
35.64231851693834,-82.55863127093579,679.74755859375,4.771975994110107,5,10
35.64227345256177,-82.55863127093579,679.2354125976562,4.771975994110107,5,15
35.64222838818484,-82.55863127093579,678.6243286132812,4.771975994110107,5,20
35.64218332380757,-82.55863127093579,678.3228759765625,4.771975994110107,5,25
35.64213825942998,-82.55863127093579,677.7931518554688,4.771975994110107,5,30
35.64209319505203,-82.55863127093579,676.0947265625,4.771975994110107,5,35
35.64204813067376,-82.55863127093579,674.7180786132812,4.771975994110107,5,40
35.64200306629515,-82.55863127093579,674.4310302734375,4.771975994110107,5,45
35.64195800191621,-82.55863127093578,674.427001953125,4.771975994110107,5,50
35.64191293753692,-82.55863127093579,674.0308837890625,4.771975994110107,5,55
35.64186787315728,-82.5586312709358,673.238525390625,4.771975994110107,5,60
35.64182280877733,-82.55863127093579,671.7156372070312,4.771975994110107,5,65
35.64177774439702,-82.55863127093579,670.486328125,4.771975994110107,5,70
35.64173268001638,-82.55863127093579,669.425048828125,4.771975994110107,5,75
35.6416876156354,-82.55863127093579,669.177490234375,4.771975994110107,5,80
35.64164255125409,-82.55863127093578,669.15234375,4.771975994110107,5,85
35.64159748687243,-82.55863127093579,668.931396484375,4.771975994110107,5,90
35.64155242249045,-82.55863127093579,668.8421020507812,4.771975994110107,5,95
35.64150735810811,-82.5586312709358,668.73583984375,4.771975994110107,5,100
35.64146229372545,-82.5586312709358,668.3363647460938,4.771975994110107,5,105
